Supermercado,Fecha_extraccion,Categoria,Articulo,Precio
IBERIA,03-09-2025 16:53:25,Abarrotes,CALDO DE POLLO EN POLVO EN CAJA 8 SOBRE,80.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CALDO MAGGI MI SABOR GALLINA 132 GR,85.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CALIFORNIA LB,160.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAMPBELLS FATFREE CREAM OF CHIKEN 10.5 O,165.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAMPBELLS SOUP GOLDEN MUSHROOM 10.75,160.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAMPONESA LECHE CONDENSADA 395G,50.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAMPOS ARROZ 10 LBS,500.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CANADA DRY GINGER ALE 12 OZ,75.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CANELA EN RAMA ESPECIAS DE ORIENTE / 115,125.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CANELA MOLIDA ESPECIAS ORIENTE 80 GRS,125.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CANELONES PRINCESA 250 GR.,60.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAP CARACOLILLO SANTO DOMINGO 10/1,320.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAP DESCAFEINADO SANTO DOMINGO 10/1,325.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CARBON DE EUCALITO 8 OZ #51,75.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CARIBIA SPICY GINGER TASTE LATA 330 ML,51.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CARNE BLANCA FINA SOLAMOYA,90.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CARNE DE SOYA NEGRA FINA SOLAMOYA,95.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CARNE DE SOYA NEGRA/BLANCA EBENEZER,125.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CATCHUP PICANTE LA FAMOSA /14 OZ,75.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CATCHUP VICTORINA DOYPACK 24/397 GR,65.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CATCHUP VICTORINA PLASTICO 27/18OZ,110.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CDC COLGATE MFP 100ML,155.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CEBOLLA AMARILLA LB,47.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CEBOLLA ROJA LB,47.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CELORRIO GARBANZOS PRIMERA 560 G,70.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CEREAL FITNESS FRUITS 350GR. 12.34 OZ.,305.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CERVEZA PRESIDENTE LIGHT 12OZ,110.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CERVEZA PRESIDENTE NORMAL 12 OZ,110.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHACHUP PLASTICO VICTORINA 24/15OZ,85.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHAMPIÑONES ENTEROS ROLAND /4 OZ,90.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHAMPIÑONES REBANADOS ROLAND / 4 OZ,75.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHEETOS CHEDDAR JALAPEÑO,255.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHEETOS CORN PUFFS 255 GRS,255.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHEF BOYARDEE CHEESE RAVIOLI 15.OZ,145.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHEF BOYARDEE SPAGUETTIS CON CARNE 14.5,140.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHERRY STAR ATUN EN AGUA 3.3 OZ,80.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHERRY STAR ATUN SOLIDO ACEITE 5 OZ,130.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHERRY STAR ATUN TROZOS ACEITE 5 OZ,145.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHERRY STAR ATUN TROZOS AGUA 5 OZ,145.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHIA ORGANICA 8 OZ,305.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHIA PRO EDEN 8 ONZ,230.0
